timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1550.732040,-0.028320,0.453125,9.909180,-0.446045,-0.586182,0.017334
1550.741360,-0.035156,0.375977,9.702148,-0.113525,-0.594971,0.122314
1550.750681,0.184570,0.534180,9.660156,0.070068,-0.524902,0.139893
1550.760001,-0.114258,0.545898,9.875977,0.087646,-0.253662,0.131104
1550.769321,0.052734,0.600586,9.757812,-0.087402,-0.227295,0.096191
1550.778642,0.208984,0.480469,9.466797,-0.227295,-0.087402,0.122314
1550.787962,0.306641,0.781250,8.648438,-0.691162,0.131348,0.069824
1550.797283,-0.555664,0.979492,9.701172,-1.242432,0.656250,-0.035156
1550.806603,0.314453,0.629883,10.050781,-1.574951,0.463867,0.157471
1550.815923,0.183594,0.004883,9.320312,-1.504883,0.490234,0.096191
1550.825244,-0.251953,0.100586,10.114258,-1.067383,0.910156,0.000000
1550.834564,0.125977,0.867188,9.623047,-0.901123,0.551270,0.096191
1550.843885,-0.293945,0.896484,10.179688,-1.329834,0.883789,0.061035
1550.853205,0.224609,0.379883,9.325195,-1.671143,0.612549,0.131104
1550.862526,-0.035156,0.460938,9.750000,-1.382324,0.962646,0.026123
1550.871846,-0.087891,0.325195,9.864258,-1.251221,1.015137,0.000000
1550.881166,-0.242188,0.444336,10.000000,-1.189941,1.216309,-0.043945
1550.890487,-0.047852,0.931641,10.554688,-1.417480,1.242676,0.017334
1550.899807,-0.102539,0.953125,10.507812,-1.959961,1.067627,-0.043945
1550.909128,-0.178711,0.800781,10.608398,-2.379883,1.032715,-0.087646
1550.918448,-0.045898,0.484375,10.358398,-2.651123,1.093750,0.078613
1550.927769,-0.059570,0.355469,9.811523,-2.423584,1.058838,-0.008789
1550.937089,-0.078125,0.024414,9.951172,-1.898682,1.198975,-0.070068
1550.946409,0.145508,0.253906,9.585938,-1.076172,1.137695,-0.122559
1550.955730,-0.149414,0.183594,9.960938,-0.428711,1.470215,0.000000
1550.965050,-0.013672,0.337891,9.564453,-0.026123,1.303955,-0.122559
1550.974371,-0.064453,0.208008,9.525391,0.183838,1.373779,-0.105225
1550.983691,-0.095703,0.434570,9.524414,0.472656,1.373779,0.096191
1550.993012,-0.099609,0.460938,9.584961,0.463867,1.277588,-0.052734
1551.002332,-0.140625,0.643555,9.346680,0.175049,0.962646,-0.131348
1551.011652,-0.242188,0.407227,9.875977,-0.481201,0.743896,-0.061279
1551.020973,0.839844,-0.072266,9.187500,-0.551025,0.446289,0.384766
1551.030293,-0.276367,-0.066406,8.363281,0.481445,0.953857,0.271240
1551.039614,-0.477539,-0.154297,8.540039,1.303955,0.796387,-0.280029
1551.048934,0.133789,-0.161133,10.177734,1.207520,1.330078,-0.323975
1551.058254,0.024414,1.240234,9.983398,0.971436,1.435059,0.236084
1551.067575,0.052734,1.813477,10.348633,-0.174805,1.242676,0.621094
1551.076895,-0.372070,0.015625,9.941406,-1.452393,0.638916,0.104980
1551.086216,0.061523,0.453125,8.863281,-1.093506,0.236328,-0.035156
1551.095536,-0.256836,0.126953,9.601562,-1.067383,0.971436,0.419922
1551.104857,0.394531,0.670898,9.166016,-1.504883,0.910156,-0.096436
1551.114177,0.140625,0.685547,9.561523,-1.723633,1.487549,0.122314
1551.123497,0.059570,1.127930,9.563477,-1.968506,1.820068,0.192383
1551.132818,-0.030273,0.460938,9.776367,-2.099854,2.047607,0.078613
1551.142138,-0.103516,-0.072266,9.566406,-1.688721,2.371338,-0.061279
1551.151459,0.226562,0.399414,9.193359,-0.866211,2.441406,0.061035
1551.160779,-0.330078,-0.005859,9.728516,-0.113525,2.730225,0.017334
1551.170100,-0.106445,0.402344,9.781250,0.682617,2.511475,-0.183838
1551.179420,0.028320,0.196289,9.845703,1.277588,2.441406,0.192383
1551.188740,-0.236328,0.381836,9.623047,1.505127,2.423828,-0.008789
1551.198061,-0.076172,0.013672,9.822266,1.566406,2.283936,0.104980
1551.207381,-0.120117,0.496094,9.882812,1.785156,2.117676,0.139893
1551.216702,-0.173828,0.550781,9.815430,1.575195,1.986328,0.131104
1551.226022,-0.252930,0.425781,9.923828,1.111328,1.872559,-0.043945
1551.235343,-0.155273,0.034180,9.666992,0.883789,1.592529,0.236084
1551.244663,-0.029297,0.012695,9.203125,1.216309,1.146484,0.244873
1551.253983,-0.633789,0.299805,9.658203,1.688965,0.796387,0.271240
1551.263304,0.397461,1.485352,10.060547,1.487549,0.411377,-0.105225
1551.272624,-0.448242,0.516602,10.896484,-0.271240,0.673828,-0.201416
1551.281945,-0.035156,0.346680,9.208984,-0.997314,0.297607,0.489990
1551.291265,0.188477,1.829102,10.091797,-0.787354,0.796387,0.647461
1551.300585,-0.570312,0.156250,9.782227,-2.336182,0.848877,-0.183838
1551.309906,0.251953,0.311523,9.747070,-1.574951,0.061279,-0.078857
1551.319226,-0.425781,0.984375,10.240234,-0.953613,0.446289,0.454834
